"Title: Births Financed by Medicaid | KFF"
"Timeframe: 2023"
"Location","Number of Births Financed by Medicaid","Percent of Births Financed by Medicaid"
"United States","1,479,782","0.4115"
"Alabama","25,825","0.4464"
"Alaska","3,230","0.3583"
"Arizona","36,272","0.4645"
"Arkansas","14,450","0.4098"
"California","161,965","0.4048"
"Colorado","22,027","0.3582"
"Connecticut","14,155","0.4096"
"Delaware","4,498","0.4314"
"District of Columbia","3,611","0.4573"
"Florida","93,001","0.42"
"Georgia","56,224","0.4494"
"Hawaii","5,085","0.3434"
"Idaho","6,899","0.308"
"Illinois","49,327","0.3952"
"Indiana","32,292","0.4088"
"Iowa","13,685","0.3796"
"Kansas","10,659","0.3129"
"Kentucky","23,029","0.443"
"Louisiana","34,871","0.635"
"Maine","4,481","0.3854"
"Maryland","27,290","0.416"
"Massachusetts","21,209","0.3161"
"Michigan","36,841","0.3717"
"Minnesota","21,210","0.3437"
"Mississippi","19,493","0.5657"
"Missouri","26,991","0.4021"
"Montana","3,853","0.3481"
"Nebraska","9,092","0.3771"
"Nevada","13,206","0.4154"
"New Hampshire","2,462","0.2063"
"New Jersey","31,309","0.31"
"New Mexico","11,574","0.5524"
"New York","98,769","0.4851"
"North Carolina","44,873","0.3737"
"North Dakota","2,214","0.2295"
"Ohio","49,073","0.3867"
"Oklahoma","25,139","0.5247"
"Oregon","17,038","0.4449"
"Pennsylvania","44,722","0.3523"
"Rhode Island","4,249","0.4334"
"South Carolina","26,440","0.458"
"South Dakota","2,919","0.2606"
"Tennessee","37,939","0.457"
"Texas","185,348","0.4778"
"Utah","8,089","0.1797"
"Vermont","1,857","0.3666"
"Virginia","32,656","0.3525"
"Washington","28,297","0.3496"
"West Virginia","7,681","0.4625"
"Wisconsin","20,619","0.3451"
"Wyoming","1,744","0.2912"

"Sources"
"KFF analysis of Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2023, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed [here.](http://wonder.cdc.gov/natality-expanded-current.html)"

"Definitions"
"*N/A*: Data not available."


