"Title: Births Financed by Medicaid | KFF"
"Timeframe: 2016"
"Location","Number of Births Financed by Medicaid","Percent of Births Financed by Medicaid"
"United States","1,670,265","0.4232939462"
"Alabama","29,856","0.5047421007"
"Alaska","4,418","0.39414756"
"Arizona","44,242","0.523450071"
"Arkansas","15,090","0.3942624236"
"California","212,090","0.4338753792"
"Colorado","26,034","0.3908246138"
"Connecticut","13,628","0.3783978898"
"Delaware","4,939","0.4493267831"
"District of Columbia","3,776","0.383039156"
"Florida","108,955","0.4841971007"
"Georgia","60,512","0.4653265868"
"Hawaii","4,560","0.2525056758"
"Idaho","8,301","0.3692287163"
"Illinois","59,809","0.387251125"
"Indiana","34,638","0.4168682529"
"Iowa","14,899","0.3781184174"
"Kansas","11,918","0.3131947547"
"Kentucky","25,559","0.4609460946"
"Louisiana","39,192","0.6203425243"
"Maine","5,018","0.3949626131"
"Maryland","27,917","0.38171352"
"Massachusetts","17,841","0.2501647574"
"Michigan","48,052","0.4240568327"
"Minnesota","21,769","0.312104833"
"Mississippi","23,356","0.6157983548"
"Missouri","28,830","0.3859179439"
"Montana","4,914","0.400097704"
"Nebraska","8,226","0.3093760578"
"Nevada","15,774","0.4350248207"
"New Hampshire","3,003","0.2448031303"
"New Jersey","31,934","0.3111050493"
"New Mexico","13,789","0.5584399806"
"New York","112,185","0.4788439622"
"North Carolina","51,155","0.4235421721"
"North Dakota","2,757","0.2422032856"
"Ohio","57,643","0.4174457762"
"Oklahoma","27,643","0.5256122604"
"Oregon","20,162","0.4427802789"
"Pennsylvania","44,315","0.3178776119"
"Rhode Island","5,275","0.4885163919"
"South Carolina","28,534","0.4976108263"
"South Dakota","3,811","0.3104684318"
"Tennessee","40,067","0.4958357568"
"Texas","185,849","0.4669021497"
"Utah","12,507","0.2478400444"
"Vermont","2,483","0.4313759555"
"Virginia","31,107","0.3036014054"
"Washington","36,212","0.4001104911"
"West Virginia","9,328","0.4889145133"
"Wisconsin","23,994","0.3601891466"
"Wyoming","2,399","0.3248036826"

"Sources"
"KFF analysis of Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2023, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed [here.](http://wonder.cdc.gov/natality-expanded-current.html)"

"Definitions"
"*N/A*: Data not available."


