"Title: Births Financed by Medicaid | KFF"
"Timeframe: 2021"
"Location","Number of Births Financed by Medicaid","Percent of Births Financed by Medicaid"
"United States","1,490,085","0.4066501796"
"Alabama","27,785","0.4786061253"
"Alaska","3,565","0.380591438"
"Arizona","36,256","0.4653216284"
"Arkansas","14,375","0.3996941471"
"California","166,048","0.3947808886"
"Colorado","22,334","0.3547951516"
"Connecticut","12,930","0.362489487"
"Delaware","3,873","0.3694905552"
"District of Columbia","3,697","0.4269053118"
"Florida","98,175","0.4539674466"
"Georgia","57,113","0.4603177162"
"Hawaii","5,416","0.3467349552"
"Idaho","7,447","0.3320551121"
"Illinois","49,868","0.3772477286"
"Indiana","31,892","0.3989192705"
"Iowa","13,918","0.3778471562"
"Kansas","10,509","0.3028093935"
"Kentucky","23,430","0.4487302256"
"Louisiana","34,926","0.6080749343"
"Maine","4,569","0.3805597201"
"Maryland","26,000","0.3807571209"
"Massachusetts","20,224","0.2925206474"
"Michigan","39,585","0.3770718232"
"Minnesota","20,462","0.3176096236"
"Mississippi","20,721","0.5894015246"
"Missouri","26,621","0.383295178"
"Montana","4,200","0.3739649185"
"Nebraska","8,506","0.3456459019"
"Nevada","14,908","0.4425577391"
"New Hampshire","2,890","0.2289108911"
"New Jersey","29,575","0.2913879228"
"New Mexico","11,504","0.5377962695"
"New York","95,959","0.4553387554"
"North Carolina","46,852","0.3889230156"
"North Dakota","2,330","0.2304193038"
"Ohio","51,657","0.3980014023"
"Oklahoma","24,701","0.510245817"
"Oregon","17,303","0.4229114728"
"Pennsylvania","43,678","0.3293420398"
"Rhode Island","4,631","0.4425649847"
"South Carolina","26,842","0.4693888257"
"South Dakota","3,193","0.2808514381"
"Tennessee","37,328","0.4567960155"
"Texas","180,705","0.4836935283"
"Utah","9,870","0.2112947423"
"Vermont","2,022","0.3755572065"
"Virginia","30,115","0.3142708062"
"Washington","27,992","0.3335915434"
"West Virginia","8,212","0.4774973834"
"Wisconsin","21,527","0.348440459"
"Wyoming","1,846","0.2959756293"

"Sources"
"KFF analysis of Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2023, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed [here.](http://wonder.cdc.gov/natality-expanded-current.html)"

"Definitions"
"*N/A*: Data not available."


